
2026/03/13 (20:23:42) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2026/03/13 (20:23:42) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2026/03/13 (20:23:42) | DEBUG: Shared::init() : Initialized.
2026/03/13 (20:23:42) | WARNING: Failed to get disk/partition stats for mount "/run/user/1000/doc" with statvfs error code: 1. Ignoring...

2026/03/13 (20:24:43) | ===> btop++ v.1.4.6
2026/03/13 (20:24:43) | INFO: Logger set to DEBUG
2026/03/13 (20:24:43) | DEBUG: Using locale C
2026/03/13 (20:24:43) | INFO: Running on /dev/pts/0
2026/03/13 (20:24:43) | DEBUG: TTY mode enabled: false
2026/03/13 (20:24:43) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2026/03/13 (20:24:43) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2026/03/13 (20:24:43) | DEBUG: Shared::init() : Initialized.
2026/03/13 (20:24:43) | WARNING: Failed to get disk/partition stats for mount "/run/user/1000/doc" with statvfs error code: 1. Ignoring...

2026/03/14 (02:34:51) | ===> btop++ v.1.4.6
2026/03/14 (02:34:51) | INFO: Logger set to DEBUG
2026/03/14 (02:34:51) | DEBUG: Using locale C
2026/03/14 (02:34:51) | INFO: Running on /dev/pts/3
2026/03/14 (02:34:51) | DEBUG: TTY mode enabled: false
2026/03/14 (02:34:51) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2026/03/14 (02:34:51) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2026/03/14 (02:34:51) | DEBUG: Shared::init() : Initialized.
2026/03/14 (02:34:51) | WARNING: Failed to get disk/partition stats for mount "/run/user/1000/doc" with statvfs error code: 1. Ignoring...

2026/03/14 (02:35:03) | ===> btop++ v.1.4.6
2026/03/14 (02:35:03) | INFO: Logger set to DEBUG
2026/03/14 (02:35:03) | DEBUG: Using locale C
2026/03/14 (02:35:03) | INFO: Running on /dev/pts/4
2026/03/14 (02:35:03) | DEBUG: TTY mode enabled: false
2026/03/14 (02:35:03) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2026/03/14 (02:35:03) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2026/03/14 (02:35:03) | DEBUG: Shared::init() : Initialized.
